Customer_i_Unique_ID,Customer_i_ID,Customer_i_Star_Rating,Customer_i_Comment,Customer_i_buying_influence,Customer_i_Date,product,category,price_dollars,star_ratings,total_ratings
B0B9H3B5KN-RP2IBLLAPKB1U,RP2IBLLAPKB1U,1.0,Terrible,0.0,2023-10-16,Avatar The Last Airbender: The Quest for Balance - Nintendo Switch,video_games,39.99,3.2,24
B00YT78ES0-RD3GX6CBZSEXT,RD3GX6CBZSEXT,5.0,Good,0.0,2023-09-28,Mario Kart Wii - Game Only by Nintendo (Renewed),video_games,55.57,4.6,417
1449494862-R1OH28S8P9NSHQ,R1OH28S8P9NSHQ,5.0,Great,0.0,2023-10-26,Trapped in a Video Game (Volume 1),video_games,5.49,4.7,13492
B01GKGVIB2-R2D0QB75GSS6FL,R2D0QB75GSS6FL,5.0,This game is good,0.0,2023-10-07,Titanfall 2 - Xbox One,video_games,7.77,4.6,2789
B0CFPRF12L-Unavailable,Unavailable,,Unavailable,,1677-09-21,Star Trek: Resurgence - PlayStation 5,video_games,39.99,0.0,0
B0C7WNMCSC-RV35Q9INGZP3X,RV35Q9INGZP3X,5.0,"Great Game with a Solid story, and a lot of twists.",0.0,2023-10-26,MARVEL’S SPIDER-MAN 2 – PS5 Launch Edition,video_games,69.0,4.4,157
B08RD3GG7Z-RTL2IIZZ325E3,RTL2IIZZ325E3,1.0,Not what I expected. Higly disappointed.,0.0,2023-10-24,"Classic Video Retro Game Console, Classic Mini Console Built-in with 620 Classic Retro Games Dual Players Mode Console for Christmas/Birthday/Thanksgiving/Valentine Gift",video_games,19.99,3.7,871
B0BW5B2GGH-RTPMW2ZXBNF9C,RTPMW2ZXBNF9C,5.0,Gaming,0.0,2023-08-20,Handheld Game for Kids Built-in 348 HD Classic Retro Video Games USB Rechargeable 3.0 Inch Childrens Travel Electronics Toys Portable Game Player Gift for Boys and Girls Ages 4-8-12 (Purplish red),video_games,21.99,4.0,77
B0747JS932-R25ELXETV4BDVL,R25ELXETV4BDVL,1.0,Did not work,0.0,2023-10-25,JXD Handheld Game Console 4.3 inch 8GB Built in 2000 Games for Multiple Simulators X6 Retro Video Game Console Mp3/4/Ebook TV Out Mini Hand Portable Game Player Device Holiday (Black),video_games,39.8,3.4,593
B09742H73B-R2FX7PWFC3KTBU,R2FX7PWFC3KTBU,1.0,Role based rpg type game,0.0,2023-10-26,Mario + Rabbids Sparks of Hope – Standard Edition,video_games,32.68,4.7,4474
B0CJ3DPYGV-Unavailable,Unavailable,,Unavailable,,1677-09-21,Bluey: The Videogame- Xbox Series X,video_games,39.99,0.0,0
B099QL8W1T-R2CJW70F9ZQYP8,R2CJW70F9ZQYP8,5.0,Lots of fun,0.0,2023-10-10,"Retro Game Console,Classic Mini Game System Preloaded 820 Video Games and 2 Wireless Controllers,AV and HDMI Retro Toys Gifts for Kids and Adults.",video_games,50.99,3.5,63
